id;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;condition;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;basement;month;year;price_lot;zipcode_price_lot;buy;action;renovate_to
9106000005;2015-05-27;1310000.0;4;2.25;3750;5000;2.0;0;5;2440;1310;1924;0;98115;47.6747;-122.303;yes;5;2015;262.0;135.52429105297867;no;dont_buy;
5101400871;2015-05-24;445500.0;2;1.75;1390;6670;1.0;0;3;720;670;1941;0;98115;47.6914;-122.308;yes;5;2015;66.79160419790105;107.73745819397993;yes;renovate;5.0
7923600250;2015-05-15;450000.0;5;2.0;1870;7344;1.5;0;3;1870;0;1960;0;98007;47.5951;-122.144;no;5;2015;61.27450980392157;65.71706053739074;yes;sell;
8730000270;2015-05-14;359000.0;2;2.75;1370;1140;2.0;0;3;1080;290;2009;0;98133;47.7052;-122.343;yes;5;2015;314.9122807017544;61.40120038408884;no;dont_buy;
9178601660;2015-05-14;1695000.0;5;3.0;3320;5354;2.0;0;3;3320;0;2004;0;98103;47.6542;-122.331;no;5;2015;316.5857302951065;224.58333333333334;no;dont_buy;
6815100380;2015-05-14;855000.0;3;1.75;1900;4000;1.0;0;3;1300;600;1965;0;98103;47.6854;-122.331;yes;5;2015;213.75;224.58333333333334;yes;sell;
1786200010;2015-05-14;456500.0;4;2.5;2580;11780;2.0;0;3;2580;0;2003;0;98038;47.3658;-122.04;no;5;2015;38.75212224108659;57.915057915057915;yes;sell;
4166600610;2015-05-14;335000.0;3;2.0;1410;44866;1.0;0;4;1410;0;1985;0;98023;47.3273;-122.37;no;5;2015;7.466678553916106;28.597598208833706;yes;renovate;5.0
8149600265;2015-05-14;725000.0;4;1.75;1980;5850;1.0;0;4;1380;600;1960;0;98116;47.5607;-122.391;yes;5;2015;123.93162393162393;108.69565217391305;no;dont_buy;
8562790720;2015-05-14;749950.0;4;3.5;2630;3757;2.0;0;3;2200;430;2008;0;98027;47.5322;-122.075;yes;5;2015;199.6140537663029;100.78328981723237;no;dont_buy;
6752600320;2015-05-14;360000.0;4;2.5;2020;7289;2.0;0;3;2020;0;1994;0;98031;47.401;-122.171;no;5;2015;49.3894910138565;38.125;no;dont_buy;
1422700040;2015-05-14;183000.0;3;1.0;1170;7320;1.0;0;3;1170;0;1962;0;98188;47.4685;-122.282;no;5;2015;25.0;30.723958333333332;yes;sell;
7129304540;2015-05-14;440000.0;5;2.0;1430;5600;1.5;0;3;1430;0;1947;0;98118;47.5192;-122.266;no;5;2015;78.57142857142857;78.13953488372093;no;dont_buy;
5057100110;2015-05-14;479349.0;5;3.0;3223;6371;2.0;0;3;3223;0;2014;0;98042;47.3584;-122.163;no;5;2015;75.2392089153979;44.19731964642144;no;dont_buy;
3975400185;2015-05-13;645000.0;3;2.0;1640;4218;1.0;0;4;910;730;1941;0;98103;47.6546;-122.344;yes;5;2015;152.91607396870555;148.95833333333334;no;dont_buy;
6699300330;2015-05-13;372000.0;5;2.5;2840;6010;2.0;0;3;2840;0;2003;0;98001;47.3161;-122.27;no;5;2015;61.89683860232945;31.07804232804233;no;dont_buy;
